run_id,dataset,backend,repeat,t_barrier_only_s,t_barrier_crossover_s,crossover_overhead_s,t_switch_verify_s,t_first_spores_warm_s,t_first_spores_cold_s
norsetest_gurobi,Norse,gurobi,1,27.8670,1.5660,-26.3010,0.0000,1.0860,0.3330
norsetest_gurobi,Norse,gurobi,2,1.6200,1.7130,0.0930,0.0000,0.8100,0.3210
norsetest_gurobi,Norse,gurobi,3,1.6120,1.7580,0.1460,0.0000,0.7970,0.3200
