run_id,dataset,backend,npoints,arm,repeat,k,budget,status,solve_time_s,simplex_iters,barrier_iters,dobj,gurobi_maxmem_gb
local,small,highs,25,cold_barrier,1,23,4079.7378,OPTIMAL,0.0585,0,19,10.77483,NaN
local,small,highs,25,cold_barrier,1,24,4094.6818,OPTIMAL,0.0605,0,20,10.290839,NaN
local,small,highs,25,cold_barrier,1,25,4109.6259,OPTIMAL,0.0584,0,19,9.8130377,NaN
local,small,highs,25,cold_barrier,2,1,3750.9677,OPTIMAL,0.0766,0,28,25.992666,NaN
local,small,highs,25,cold_barrier,2,2,3765.9118,OPTIMAL,0.0702,0,23,24.586532,NaN
local,small,highs,25,cold_barrier,2,3,3780.8559,OPTIMAL,0.0801,0,29,23.367034,NaN
local,small,highs,25,cold_barrier,2,4,3795.8,OPTIMAL,0.0795,0,28,22.314989,NaN
local,small,highs,25,cold_barrier,2,5,3810.7441,OPTIMAL,0.0886,0,31,21.370651,NaN
local,small,highs,25,cold_barrier,2,6,3825.6881,OPTIMAL,0.0857,0,27,20.573564,NaN
local,small,highs,25,cold_barrier,2,7,3840.6322,OPTIMAL,0.0746,0,25,19.857424,NaN
local,small,highs,25,cold_barrier,2,8,3855.5763,OPTIMAL,0.0657,0,23,19.174582,NaN
local,small,highs,25,cold_barrier,2,9,3870.5204,OPTIMAL,0.0780,0,27,18.52781,NaN
local,small,highs,25,cold_barrier,2,10,3885.4645,OPTIMAL,0.0673,0,23,17.900159,NaN
local,small,highs,25,cold_barrier,2,11,3900.4086,OPTIMAL,0.0637,0,22,17.284022,NaN
local,small,highs,25,cold_barrier,2,12,3915.3527,OPTIMAL,0.0638,0,21,16.690952,NaN
local,small,highs,25,cold_barrier,2,13,3930.2968,OPTIMAL,0.0597,0,20,16.099651,NaN
local,small,highs,25,cold_barrier,2,14,3945.2409,OPTIMAL,0.0603,0,20,15.523321,NaN
local,small,highs,25,cold_barrier,2,15,3960.185,OPTIMAL,0.0544,0,18,14.961082,NaN
local,small,highs,25,cold_barrier,2,16,3975.1291,OPTIMAL,0.0511,0,17,14.405221,NaN
local,small,highs,25,cold_barrier,2,17,3990.0732,OPTIMAL,0.0575,0,19,13.853775,NaN
local,small,highs,25,cold_barrier,2,18,4005.0173,OPTIMAL,0.0595,0,20,13.310988,NaN
local,small,highs,25,cold_barrier,2,19,4019.9614,OPTIMAL,0.0554,0,18,12.772214,NaN
local,small,highs,25,cold_barrier,2,20,4034.9055,OPTIMAL,0.0619,0,20,12.259568,NaN
local,small,highs,25,cold_barrier,2,21,4049.8496,OPTIMAL,0.0630,0,20,11.758785,NaN
local,small,highs,25,cold_barrier,2,22,4064.7937,OPTIMAL,0.0576,0,19,11.263282,NaN
local,small,highs,25,cold_barrier,2,23,4079.7378,OPTIMAL,0.0579,0,19,10.77483,NaN
local,small,highs,25,cold_barrier,2,24,4094.6818,OPTIMAL,0.0596,0,20,10.290839,NaN
local,small,highs,25,cold_barrier,2,25,4109.6259,OPTIMAL,0.0583,0,19,9.8130377,NaN
local,small,highs,25,warm_simplex,1,1,3750.9677,OPTIMAL,0.1385,0,32,25.992666,NaN
local,small,highs,25,warm_simplex,1,2,3765.9118,OPTIMAL,0.0036,13,0,24.586532,NaN
local,small,highs,25,warm_simplex,1,3,3780.8559,OPTIMAL,0.0008,6,0,23.367034,NaN
local,small,highs,25,warm_simplex,1,4,3795.8,OPTIMAL,0.0013,24,0,22.314989,NaN
local,small,highs,25,warm_simplex,1,5,3810.7441,OPTIMAL,0.0011,12,0,21.370651,NaN
local,small,highs,25,warm_simplex,1,6,3825.6881,OPTIMAL,0.0010,10,0,20.573564,NaN
local,small,highs,25,warm_simplex,1,7,3840.6322,OPTIMAL,0.0010,11,0,19.857424,NaN
local,small,highs,25,warm_simplex,1,8,3855.5763,OPTIMAL,0.0008,7,0,19.174582,NaN
local,small,highs,25,warm_simplex,1,9,3870.5204,OPTIMAL,0.0010,10,0,18.52781,NaN
local,small,highs,25,warm_simplex,1,10,3885.4645,OPTIMAL,0.0017,22,0,17.900159,NaN
