run_id,dataset,backend,n_alt,arm,repeat,idx,solve_time_s,simplex_iterations,barrier_iterations,status
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,2,0.5590,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,3,0.4950,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,4,0.4570,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,5,0.5130,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,6,0.4710,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,7,0.4810,1296,46,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,8,0.4930,1285,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,9,0.5000,1921,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,2,10,0.5250,1200,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,1,0.5200,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,2,0.5590,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,3,0.4900,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,4,0.4580,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,5,0.5110,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,6,0.4560,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,7,0.4550,1296,46,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,8,0.4850,1285,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,9,0.4980,1921,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,barrier,3,10,0.5160,1200,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,1,0.5250,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,2,0.0250,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,3,0.0220,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,4,0.0120,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,5,0.0240,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,6,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,7,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,8,0.0150,26,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,9,0.0130,24,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,1,10,0.0090,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,1,0.5170,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,2,0.0240,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,3,0.0200,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,4,0.0120,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,5,0.0220,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,6,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,7,0.0100,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,8,0.0140,26,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,9,0.0120,24,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,2,10,0.0080,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,1,0.5280,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,2,0.0260,53,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,3,0.0190,41,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,4,0.0120,17,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,5,0.0230,48,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,6,0.0120,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,7,0.0110,10,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,8,0.0160,26,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,9,0.0130,24,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,10,warm_primal_simplex,3,10,0.0090,3,0,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,1,0.5070,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,2,0.5450,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,3,0.5040,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,4,0.4580,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,5,0.5260,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,6,0.4660,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,7,0.4680,1296,46,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,8,0.4860,1285,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,9,0.5330,1921,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,10,0.5680,1200,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,11,0.5140,1350,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,12,0.5040,1112,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,13,0.5820,1884,53,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,14,0.4930,1273,51,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,15,0.5130,1331,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,16,0.5170,1760,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,17,0.4860,1387,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,18,0.4970,1199,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,19,0.5730,1926,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,20,0.5110,1191,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,21,0.5060,1243,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,22,0.5330,1237,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,23,0.4770,1354,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,24,0.5010,1175,50,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,1,25,0.5100,1112,52,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,1,0.5370,1580,54,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,2,0.5670,2017,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,3,0.5010,1220,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,4,0.4560,1169,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,5,0.5010,1286,49,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,6,0.4530,1321,47,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,7,0.4670,1296,46,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,8,0.4890,1285,48,OPTIMAL
norse_fixed_gurobi,Norse,gurobi,25,barrier,2,9,0.5000,1921,47,OPTIMAL
