run_id,dataset,backend,n_alt,arm,repeat,idx,solve_time_s,simplex_iterations,barrier_iterations,status
norse_fixed_highs,Norse,highs,10,barrier,2,8,3.8604,0,86,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,2,9,5.9507,112,109,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,2,10,3.3907,0,80,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,1,3.3225,0,77,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,2,3.3394,0,79,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,3,2.9113,0,72,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,4,3.6772,0,88,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,5,7.5829,11102,108,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,6,2.8748,0,72,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,7,3.3736,0,82,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,8,3.5153,0,86,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,9,5.5724,112,109,OPTIMAL
norse_fixed_highs,Norse,highs,10,barrier,3,10,3.2650,0,80,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,1,3.3860,0,77,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,2,0.0231,45,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,3,0.0202,34,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,4,0.0155,11,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,5,0.0192,32,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,6,0.0145,6,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,7,0.0143,9,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,8,0.0158,16,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,9,0.0191,33,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,1,10,0.0171,5,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,1,3.4013,0,77,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,2,0.0209,45,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,3,0.0204,34,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,4,0.0181,11,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,5,0.0207,32,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,6,0.0159,6,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,7,0.0163,9,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,8,0.0165,16,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,9,0.0199,33,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,2,10,0.0145,5,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,3,1,3.2363,0,77,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,3,2,0.0204,45,0,OPTIMAL
norse_fixed_highs,Norse,highs,10,warm_primal_simplex,3,3,0.0194,34,0,OPTIMAL
