case,iters,time_s,miss_pct,viol,soldist,obj_s
Norse,100,0.2924,0.00000,1.1108e+04,6.2537e+01,106.848
Norse,300,0.2084,127.76304,1.2783e+06,2.0327e+01,297.717
Norse,1000,0.5452,122.87138,3.2047e+04,1.2483e+01,290.647
Norse,3000,1.3763,0.76235,1.3296e+04,1.8344e+01,114.183
Norse,10000,4.4101,0.00000,4.7382e+03,2.5186e+01,105.021
Norse,30000,13.7721,10.68404,1.4435e+03,1.7833e+01,128.521
Norse,100000,43.6852,2.16602,9.0953e+02,7.9675e-01,116.212
Norse,300000,131.1605,4.47256,2.3633e+02,1.3572e+00,119.545
